route_name_list,lon,lat,datetime,type_list,status_list
5_70_rider_16_meeting_point,-73.973439,40.7636393,2016/3/5 17:16:25,point,display
5_70_rider_16_meeting_point,-73.973439,40.7636393,2016/3/5 17:16:30,point,display
5_70_rider_16_meeting_point,-73.973439,40.7636393,2016/3/5 17:16:35,point,display
5_70_rider_16_meeting_point,-73.973439,40.7636393,2016/3/5 17:16:40,point,display
5_70_rider_16_meeting_point,-73.973439,40.7636393,2016/3/5 17:16:45,point,display
5_70_rider_16_meeting_point,-73.973439,40.7636393,2016/3/5 17:16:50,point,display
5_70_rider_16_meeting_point,-73.973439,40.7636393,2016/3/5 17:16:55,point,display
5_70_rider_16_meeting_point,-73.973439,40.7636393,2016/3/5 17:17:00,point,display
5_70_rider_16_meeting_point,-73.973439,40.7636393,2016/3/5 17:17:05,point,display
5_70_rider_16_meeting_point,-73.973439,40.7636393,2016/3/5 17:17:10,point,display
5_70_rider_16_meeting_point,-73.973439,40.7636393,2016/3/5 17:17:15,point,display
5_70_rider_16_meeting_point,-73.973439,40.7636393,2016/3/5 17:17:20,point,display
5_70_rider_16_meeting_point,-73.973439,40.7636393,2016/3/5 17:17:25,point,display
5_70_rider_16,-73.973439,40.7636393,2016/3/5 19:07:25,rider,wait
5_70_rider_16,-73.973439,40.7636393,2016/3/5 19:07:30,rider,wait
5_70_rider_16,-73.973439,40.7636393,2016/3/5 19:07:35,rider,wait
5_70_rider_16,-73.973439,40.7636393,2016/3/5 19:07:40,rider,wait
5_70_rider_16,-73.973439,40.7636393,2016/3/5 19:07:45,rider,wait
5_70_rider_16,-73.973439,40.7636393,2016/3/5 19:07:50,rider,wait
5_70_rider_16,-73.973439,40.7636393,2016/3/5 19:07:55,rider,wait
5_70_rider_16,-73.973439,40.7636393,2016/3/5 19:08:00,rider,wait
